Iteration;Long01;Long012;Long02;Long0105
1;1539;1553;1658;1539
2;1539;1553;1658;1523
3;1539;1548;1659;1523
4;1539;1548;1653;1521
5;1539;1533;1653;1521
6;1539;1533;1653;1521
7;1539;1521;1645;1521
8;1539;1519;1645;1521
9;1540;1505;1644;1505
10;1530;1496;1644;1505
11;1511;1496;1644;1505
12;1502;1496;1644;1505
13;1502;1496;1642;1505
14;1504;1477;1642;1498
15;1501;1477;1630;1498
16;1484;1460;1630;1498
17;1473;1460;1630;1494
18;1469;1454;1620;1494
19;1465;1453;1620;1492
20;1453;1440;1616;1492
21;1449;1433;1616;1491
22;1450;1426;1617;1491
23;1450;1426;1602;1483
24;1434;1426;1602;1485
25;1434;1426;1602;1484
26;1433;1420;1602;1484
27;1432;1420;1602;1484
28;1432;1420;1602;1484
29;1432;1420;1594;1484
30;1432;1408;1594;1468
31;1426;1405;1594;1454
32;1423;1389;1583;1441
33;1423;1371;1583;1436
34;1423;1362;1585;1422
35;1423;1361;1585;1422
36;1423;1355;1587;1419
37;1413;1355;1587;1419
38;1404;1354;1576;1420
39;1388;1355;1576;1420
40;1382;1355;1576;1416
41;1382;1355;1576;1404
42;1382;1355;1571;1404
43;1382;1342;1571;1404
44;1372;1342;1565;1386
45;1362;1342;1565;1386
46;1344;1341;1565;1375
47;1344;1341;1556;1375
48;1331;1341;1556;1377
49;1333;1332;1543;1377
50;1333;1332;1536;1364
51;1333;1332;1536;1363
52;1333;1332;1536;1363
53;1326;1327;1536;1353
54;1327;1316;1525;1353
55;1327;1316;1525;1349
56;1328;1317;1525;1342
57;1328;1303;1524;1334
58;1328;1303;1520;1334
59;1328;1295;1512;1332
60;1328;1295;1513;1319
61;1318;1283;1513;1307
62;1317;1283;1502;1304
63;1317;1283;1494;1303
64;1318;1282;1494;1302
65;1309;1281;1483;1300
66;1309;1278;1483;1300
67;1309;1262;1484;1300
68;1307;1261;1484;1300
69;1299;1248;1476;1302
70;1301;1240;1476;1302
71;1300;1234;1467;1295
72;1282;1234;1467;1295
73;1282;1229;1460;1295
74;1283;1221;1450;1295
75;1282;1215;1442;1297
76;1278;1213;1444;1297
77;1264;1213;1444;1297
78;1264;1213;1444;1300
79;1253;1213;1444;1297
80;1241;1213;1444;1283
81;1241;1202;1444;1283
82;1241;1202;1436;1281
83;1243;1191;1431;1281
84;1243;1177;1431;1271
85;1244;1173;1431;1267
86;1244;1173;1431;1267
87;1242;1172;1431;1267
88;1231;1172;1431;1268
89;1216;1174;1423;1267
90;1216;1174;1423;1267
91;1216;1174;1423;1261
92;1216;1177;1423;1262
93;1210;1170;1423;1250
94;1192;1170;1420;1250
95;1187;1162;1420;1245
96;1189;1162;1417;1244
97;1178;1161;1417;1230
98;1165;1161;1409;1230
99;1160;1157;1410;1215
100;1160;1158;1410;1215
101;1148;1158;1410;1215
102;1148;1158;1413;1213
103;1146;1158;1410;1212
104;1146;1158;1410;1212
105;1135;1142;1414;1213
