Dateiname,StartTemperatur,CoolingRate,IterationsAnzahl,Score
long01,10000,10.0,1000,765.0
long01,10000,9.0,1111,771.0
long01,10000,8.0,1250,765.0
long01,10000,7.0,1428,766.0
long01,10000,6.0,1666,756.0
long01,10000,5.0,2000,761.0
long01,10000,4.0,2500,755.0
long01,10000,3.0,3333,759.0
long01,10000,2.0,5000,760.0
long01,10000,1.0,10000,753.0
long01,10000,10.0,1000,774.0
long01,9000,10.0,900,782.0
long01,8000,10.0,800,800.0
long01,7000,10.0,700,800.0
long01,6000,10.0,600,812.0
long01,5000,10.0,500,815.0
long01,4000,10.0,400,842.0
long01,3000,10.0,300,897.0
long01,2000,10.0,200,978.0
long01,1000,10.0,100,1211.0
long01,5000,5.0,1000,771.0
long01,5000,4.5,1111,782.0
long01,5000,4.0,1250,763.0
long01,5000,3.5,1428,771.0
long01,5000,3.0,1666,770.0
long01,5000,2.5,2000,764.0
long01,5000,2.0,2500,752.0
long01,5000,1.5,3333,767.0
long01,5000,1.0,5000,761.0
long01,5000,0.5,10000,754.0
long01,5000,5.0,1000,775.0
long01,4500,5.0,900,773.0
long01,4000,5.0,800,771.0
long01,3500,5.0,700,787.0
long01,3000,5.0,600,801.0
long01,2500,5.0,500,815.0
long01,2000,5.0,400,823.0
long01,1500,5.0,300,880.0
long01,1000,5.0,200,974.0
long01,500,5.0,100,1200.0
long01,1000,1.0,1000,786.0
long01,1000,0.9,1111,771.0
long01,1000,0.8,1250,769.0
long01,1000,0.7,1428,770.0
long01,1000,0.6,1666,780.0
long01,1000,0.5,2000,769.0
long01,1000,0.4,2500,765.0
long01,1000,0.3,3333,751.0
long01,1000,0.2,5000,764.0
long01,1000,0.1,10000,755.0
long01,1000,1.0,1000,774.0
long01,900,1.0,900,778.0
long01,800,1.0,800,783.0
long01,700,1.0,700,792.0
long01,600,1.0,600,801.0
long01,500,1.0,500,829.0
long01,400,1.0,400,836.0
long01,300,1.0,300,886.0
long01,200,1.0,200,1013.0
long01,100,1.0,100,1157.0
long01,500,0.5,1000,771.0
long01,500,0.45,1111,782.0
long01,500,0.4,1250,776.0
long01,500,0.35,1428,775.0
long01,500,0.3,1666,753.0
long01,500,0.25,2000,770.0
long01,500,0.2,2500,760.0
long01,500,0.15,3333,753.0
long01,500,0.1,5000,757.0
long01,500,0.05,10000,756.0
long01,500,0.5,1000,765.0
long01,450,0.5,900,786.0
long01,400,0.5,800,770.0
long01,350,0.5,700,794.0
long01,300,0.5,600,795.0
long01,250,0.5,500,813.0
long01,200,0.5,400,858.0
long01,150,0.5,300,865.0
long01,100,0.5,200,994.0
long01,50,0.5,100,1176.0
long01,100,0.1,1000,777.0
long01,100,0.09,1111,774.0
long01,100,0.08,1250,769.0
long01,100,0.07,1428,781.0
long01,100,0.06,1666,778.0
long01,100,0.05,2000,757.0
long01,100,0.04,2500,775.0
long01,100,0.03,3333,764.0
long01,100,0.02,5000,759.0
long01,100,0.01,10000,750.0
long01,100,0.1,1000,783.0
long01,90,0.1,900,788.0
long01,80,0.1,800,785.0
long01,70,0.1,700,775.0
long01,60,0.1,600,796.0
long01,50,0.1,500,819.0
long01,40,0.1,400,850.0
long01,30,0.1,300,900.0
long01,20,0.1,200,991.0
long01,10,0.1,100,1157.0
long01,10,0.01,1000,775.0
long01,10,0.009,1111,775.0
long01,10,0.008,1250,774.0
long01,10,0.007,1428,768.0
long01,10,0.006,1666,763.0
long01,10,0.005,2000,767.0
long01,10,0.004,2500,768.0
long01,10,0.003,3333,766.0
long01,10,0.002,5000,757.0
long01,10,0.001,10000,744.0
long01,10,0.01,1000,778.0
long01,9,0.01,900,788.0
long01,8,0.01,800,785.0
long01,7,0.01,700,797.0
long01,6,0.01,600,810.0
long01,5,0.01,500,808.0
long01,4,0.01,400,841.0
long01,3,0.01,300,896.0
long01,2,0.01,200,987.0
long01,1,0.01,100,1146.0
