Dateiname,StartTemperatur,CoolingRate,IterationsAnzahl,Score
long_hidden01,10000,10.0,1000,3155.0
long_hidden01,10000,9.0,1111,3189.0
long_hidden01,10000,8.0,1250,3134.0
long_hidden01,10000,7.0,1428,3227.0
long_hidden01,10000,6.0,1666,3260.0
long_hidden01,10000,5.0,2000,3149.0
long_hidden01,10000,4.0,2500,3161.0
long_hidden01,10000,3.0,3333,3179.0
long_hidden01,10000,2.0,5000,3149.0
long_hidden01,10000,1.0,10000,3228.0
long_hidden01,10000,10.0,1000,3149.0
long_hidden01,9000,10.0,900,3195.0
long_hidden01,8000,10.0,800,3178.0
long_hidden01,7000,10.0,700,3299.0
long_hidden01,6000,10.0,600,3269.0
long_hidden01,5000,10.0,500,3314.0
long_hidden01,4000,10.0,400,3435.0
long_hidden01,3000,10.0,300,3787.0
long_hidden01,2000,10.0,200,4083.0
long_hidden01,1000,10.0,100,4884.0
long_hidden01,5000,5.0,1000,3211.0
long_hidden01,5000,4.5,1111,3185.0
long_hidden01,5000,4.0,1250,3205.0
long_hidden01,5000,3.5,1428,3184.0
long_hidden01,5000,3.0,1666,3144.0
long_hidden01,5000,2.5,2000,3197.0
long_hidden01,5000,2.0,2500,3166.0
long_hidden01,5000,1.5,3333,3145.0
long_hidden01,5000,1.0,5000,3192.0
long_hidden01,5000,0.5,10000,3177.0
long_hidden01,5000,5.0,1000,3153.0
long_hidden01,4500,5.0,900,3173.0
long_hidden01,4000,5.0,800,3228.0
long_hidden01,3500,5.0,700,3228.0
long_hidden01,3000,5.0,600,3221.0
long_hidden01,2500,5.0,500,3254.0
long_hidden01,2000,5.0,400,3324.0
long_hidden01,1500,5.0,300,3591.0
long_hidden01,1000,5.0,200,4041.0
long_hidden01,500,5.0,100,4961.0
long_hidden01,1000,1.0,1000,3176.0
long_hidden01,1000,0.9,1111,3153.0
long_hidden01,1000,0.8,1250,3130.0
long_hidden01,1000,0.7,1428,3234.0
long_hidden01,1000,0.6,1666,3188.0
long_hidden01,1000,0.5,2000,3235.0
long_hidden01,1000,0.4,2500,3193.0
long_hidden01,1000,0.3,3333,3217.0
long_hidden01,1000,0.2,5000,3126.0
long_hidden01,1000,0.1,10000,3181.0
long_hidden01,1000,1.0,1000,3207.0
long_hidden01,900,1.0,900,3255.0
long_hidden01,800,1.0,800,3183.0
long_hidden01,700,1.0,700,3233.0
long_hidden01,600,1.0,600,3270.0
long_hidden01,500,1.0,500,3225.0
long_hidden01,400,1.0,400,3409.0
long_hidden01,300,1.0,300,3550.0
long_hidden01,200,1.0,200,4055.0
long_hidden01,100,1.0,100,4848.0
long_hidden01,500,0.5,1000,3149.0
long_hidden01,500,0.45,1111,3144.0
long_hidden01,500,0.4,1250,3146.0
long_hidden01,500,0.35,1428,3170.0
long_hidden01,500,0.3,1666,3248.0
long_hidden01,500,0.25,2000,3204.0
long_hidden01,500,0.2,2500,3189.0
long_hidden01,500,0.15,3333,3116.0
long_hidden01,500,0.1,5000,3162.0
long_hidden01,500,0.05,10000,3241.0
long_hidden01,500,0.5,1000,3180.0
long_hidden01,450,0.5,900,3193.0
long_hidden01,400,0.5,800,3241.0
long_hidden01,350,0.5,700,3242.0
long_hidden01,300,0.5,600,3277.0
long_hidden01,250,0.5,500,3322.0
long_hidden01,200,0.5,400,3443.0
long_hidden01,150,0.5,300,3589.0
long_hidden01,100,0.5,200,4086.0
long_hidden01,50,0.5,100,4824.0
long_hidden01,100,0.1,1000,3247.0
long_hidden01,100,0.09,1111,3188.0
long_hidden01,100,0.08,1250,3193.0
long_hidden01,100,0.07,1428,3174.0
long_hidden01,100,0.06,1666,3254.0
long_hidden01,100,0.05,2000,3156.0
long_hidden01,100,0.04,2500,3164.0
long_hidden01,100,0.03,3333,3173.0
long_hidden01,100,0.02,5000,3242.0
long_hidden01,100,0.01,10000,3150.0
long_hidden01,100,0.1,1000,3177.0
long_hidden01,90,0.1,900,3193.0
long_hidden01,80,0.1,800,3189.0
long_hidden01,70,0.1,700,3179.0
long_hidden01,60,0.1,600,3306.0
long_hidden01,50,0.1,500,3355.0
long_hidden01,40,0.1,400,3460.0
long_hidden01,30,0.1,300,3673.0
long_hidden01,20,0.1,200,4083.0
long_hidden01,10,0.1,100,4774.0
long_hidden01,10,0.01,1000,3148.0
long_hidden01,10,0.009,1111,3214.0
long_hidden01,10,0.008,1250,3194.0
long_hidden01,10,0.007,1428,3232.0
long_hidden01,10,0.006,1666,3183.0
long_hidden01,10,0.005,2000,3146.0
long_hidden01,10,0.004,2500,3160.0
long_hidden01,10,0.003,3333,3153.0
long_hidden01,10,0.002,5000,3197.0
long_hidden01,10,0.001,10000,3148.0
long_hidden01,10,0.01,1000,3285.0
long_hidden01,9,0.01,900,3174.0
long_hidden01,8,0.01,800,3170.0
long_hidden01,7,0.01,700,3121.0
long_hidden01,6,0.01,600,3298.0
long_hidden01,5,0.01,500,3366.0
long_hidden01,4,0.01,400,3386.0
long_hidden01,3,0.01,300,3625.0
long_hidden01,2,0.01,200,4021.0
long_hidden01,1,0.01,100,4789.0
