Dateiname,StartTemperatur,CoolingRate,IterationsAnzahl,Score
long_hint01,10000,10.0,1000,1340.0
long_hint01,10000,9.0,1111,1327.0
long_hint01,10000,8.0,1250,1303.0
long_hint01,10000,7.0,1428,1273.0
long_hint01,10000,6.0,1666,1273.0
long_hint01,10000,5.0,2000,1254.0
long_hint01,10000,4.0,2500,1238.0
long_hint01,10000,3.0,3333,1242.0
long_hint01,10000,2.0,5000,1224.0
long_hint01,10000,1.0,10000,1173.0
long_hint01,10000,10.0,1000,1338.0
long_hint01,9000,10.0,900,1335.0
long_hint01,8000,10.0,800,1349.0
long_hint01,7000,10.0,700,1364.0
long_hint01,6000,10.0,600,1417.0
long_hint01,5000,10.0,500,1400.0
long_hint01,4000,10.0,400,1419.0
long_hint01,3000,10.0,300,1438.0
long_hint01,2000,10.0,200,1479.0
long_hint01,1000,10.0,100,1549.0
long_hint01,5000,5.0,1000,1315.0
long_hint01,5000,4.5,1111,1298.0
long_hint01,5000,4.0,1250,1273.0
long_hint01,5000,3.5,1428,1304.0
long_hint01,5000,3.0,1666,1273.0
long_hint01,5000,2.5,2000,1256.0
long_hint01,5000,2.0,2500,1213.0
long_hint01,5000,1.5,3333,1196.0
long_hint01,5000,1.0,5000,1218.0
long_hint01,5000,0.5,10000,1175.0
long_hint01,5000,5.0,1000,1317.0
long_hint01,4500,5.0,900,1331.0
long_hint01,4000,5.0,800,1342.0
long_hint01,3500,5.0,700,1320.0
long_hint01,3000,5.0,600,1368.0
long_hint01,2500,5.0,500,1404.0
long_hint01,2000,5.0,400,1436.0
long_hint01,1500,5.0,300,1450.0
long_hint01,1000,5.0,200,1495.0
long_hint01,500,5.0,100,1558.0
long_hint01,1000,1.0,1000,1319.0
long_hint01,1000,0.9,1111,1283.0
long_hint01,1000,0.8,1250,1300.0
long_hint01,1000,0.7,1428,1289.0
long_hint01,1000,0.6,1666,1267.0
long_hint01,1000,0.5,2000,1283.0
long_hint01,1000,0.4,2500,1257.0
long_hint01,1000,0.3,3333,1212.0
long_hint01,1000,0.2,5000,1220.0
long_hint01,1000,0.1,10000,1194.0
long_hint01,1000,1.0,1000,1302.0
long_hint01,900,1.0,900,1317.0
long_hint01,800,1.0,800,1317.0
long_hint01,700,1.0,700,1354.0
long_hint01,600,1.0,600,1361.0
long_hint01,500,1.0,500,1391.0
long_hint01,400,1.0,400,1393.0
long_hint01,300,1.0,300,1440.0
long_hint01,200,1.0,200,1499.0
long_hint01,100,1.0,100,1554.0
long_hint01,500,0.5,1000,1308.0
long_hint01,500,0.45,1111,1278.0
long_hint01,500,0.4,1250,1296.0
long_hint01,500,0.35,1428,1247.0
long_hint01,500,0.3,1666,1254.0
long_hint01,500,0.25,2000,1247.0
long_hint01,500,0.2,2500,1247.0
long_hint01,500,0.15,3333,1213.0
long_hint01,500,0.1,5000,1212.0
long_hint01,500,0.05,10000,1201.0
long_hint01,500,0.5,1000,1314.0
long_hint01,450,0.5,900,1357.0
long_hint01,400,0.5,800,1343.0
long_hint01,350,0.5,700,1367.0
long_hint01,300,0.5,600,1359.0
long_hint01,250,0.5,500,1377.0
long_hint01,200,0.5,400,1391.0
long_hint01,150,0.5,300,1473.0
long_hint01,100,0.5,200,1475.0
long_hint01,50,0.5,100,1525.0
long_hint01,100,0.1,1000,1338.0
long_hint01,100,0.09,1111,1299.0
long_hint01,100,0.08,1250,1303.0
long_hint01,100,0.07,1428,1294.0
long_hint01,100,0.06,1666,1283.0
long_hint01,100,0.05,2000,1260.0
long_hint01,100,0.04,2500,1242.0
long_hint01,100,0.03,3333,1218.0
long_hint01,100,0.02,5000,1214.0
long_hint01,100,0.01,10000,1167.0
long_hint01,100,0.1,1000,1318.0
long_hint01,90,0.1,900,1336.0
long_hint01,80,0.1,800,1329.0
long_hint01,70,0.1,700,1337.0
long_hint01,60,0.1,600,1386.0
long_hint01,50,0.1,500,1376.0
long_hint01,40,0.1,400,1398.0
long_hint01,30,0.1,300,1463.0
long_hint01,20,0.1,200,1485.0
long_hint01,10,0.1,100,1549.0
long_hint01,10,0.01,1000,1316.0
long_hint01,10,0.009,1111,1302.0
long_hint01,10,0.008,1250,1303.0
long_hint01,10,0.007,1428,1279.0
long_hint01,10,0.006,1666,1274.0
long_hint01,10,0.005,2000,1245.0
long_hint01,10,0.004,2500,1252.0
long_hint01,10,0.003,3333,1241.0
long_hint01,10,0.002,5000,1222.0
long_hint01,10,0.001,10000,1185.0
long_hint01,10,0.01,1000,1345.0
long_hint01,9,0.01,900,1330.0
long_hint01,8,0.01,800,1335.0
long_hint01,7,0.01,700,1369.0
long_hint01,6,0.01,600,1383.0
long_hint01,5,0.01,500,1404.0
long_hint01,4,0.01,400,1422.0
long_hint01,3,0.01,300,1472.0
long_hint01,2,0.01,200,1498.0
long_hint01,1,0.01,100,1553.0
