Dateiname,StartTemperatur,CoolingRate,IterationsAnzahl,Score
long_late01,10000,10.0,1000,3730.0
long_late01,10000,9.0,1111,3734.0
long_late01,10000,8.0,1250,3569.0
long_late01,10000,7.0,1428,3581.0
long_late01,10000,6.0,1666,3552.0
long_late01,10000,5.0,2000,3569.0
long_late01,10000,4.0,2500,3509.0
long_late01,10000,3.0,3333,3428.0
long_late01,10000,2.0,5000,3444.0
long_late01,10000,1.0,10000,3306.0
long_late01,10000,10.0,1000,3745.0
long_late01,9000,10.0,900,3853.0
long_late01,8000,10.0,800,3916.0
long_late01,7000,10.0,700,3959.0
long_late01,6000,10.0,600,4072.0
long_late01,5000,10.0,500,4139.0
long_late01,4000,10.0,400,4126.0
long_late01,3000,10.0,300,4414.0
long_late01,2000,10.0,200,4757.0
long_late01,1000,10.0,100,4999.0
long_late01,5000,5.0,1000,3780.0
long_late01,5000,4.5,1111,3748.0
long_late01,5000,4.0,1250,3604.0
long_late01,5000,3.5,1428,3619.0
long_late01,5000,3.0,1666,3581.0
long_late01,5000,2.5,2000,3515.0
long_late01,5000,2.0,2500,3522.0
long_late01,5000,1.5,3333,3457.0
long_late01,5000,1.0,5000,3382.0
long_late01,5000,0.5,10000,3375.0
long_late01,5000,5.0,1000,3794.0
long_late01,4500,5.0,900,3744.0
long_late01,4000,5.0,800,3940.0
long_late01,3500,5.0,700,3939.0
long_late01,3000,5.0,600,4005.0
long_late01,2500,5.0,500,4160.0
long_late01,2000,5.0,400,4340.0
long_late01,1500,5.0,300,4412.0
long_late01,1000,5.0,200,4820.0
long_late01,500,5.0,100,5109.0
long_late01,1000,1.0,1000,3779.0
long_late01,1000,0.9,1111,3755.0
long_late01,1000,0.8,1250,3710.0
long_late01,1000,0.7,1428,3700.0
long_late01,1000,0.6,1666,3540.0
long_late01,1000,0.5,2000,3508.0
long_late01,1000,0.4,2500,3521.0
long_late01,1000,0.3,3333,3427.0
long_late01,1000,0.2,5000,3435.0
long_late01,1000,0.1,10000,3327.0
long_late01,1000,1.0,1000,3808.0
long_late01,900,1.0,900,3821.0
long_late01,800,1.0,800,3923.0
long_late01,700,1.0,700,3968.0
long_late01,600,1.0,600,3991.0
long_late01,500,1.0,500,4122.0
long_late01,400,1.0,400,4279.0
long_late01,300,1.0,300,4478.0
long_late01,200,1.0,200,4761.0
long_late01,100,1.0,100,5051.0
long_late01,500,0.5,1000,3680.0
long_late01,500,0.45,1111,3843.0
long_late01,500,0.4,1250,3669.0
long_late01,500,0.35,1428,3610.0
long_late01,500,0.3,1666,3622.0
long_late01,500,0.25,2000,3469.0
long_late01,500,0.2,2500,3464.0
long_late01,500,0.15,3333,3447.0
long_late01,500,0.1,5000,3373.0
long_late01,500,0.05,10000,3325.0
long_late01,500,0.5,1000,3695.0
long_late01,450,0.5,900,3756.0
long_late01,400,0.5,800,3997.0
long_late01,350,0.5,700,3914.0
long_late01,300,0.5,600,4040.0
long_late01,250,0.5,500,4114.0
long_late01,200,0.5,400,4278.0
long_late01,150,0.5,300,4546.0
long_late01,100,0.5,200,4602.0
long_late01,50,0.5,100,5080.0
long_late01,100,0.1,1000,3724.0
long_late01,100,0.09,1111,3753.0
long_late01,100,0.08,1250,3669.0
long_late01,100,0.07,1428,3639.0
long_late01,100,0.06,1666,3583.0
long_late01,100,0.05,2000,3533.0
long_late01,100,0.04,2500,3494.0
long_late01,100,0.03,3333,3456.0
long_late01,100,0.02,5000,3366.0
long_late01,100,0.01,10000,3335.0
long_late01,100,0.1,1000,3797.0
long_late01,90,0.1,900,3794.0
long_late01,80,0.1,800,3976.0
long_late01,70,0.1,700,3957.0
long_late01,60,0.1,600,3981.0
long_late01,50,0.1,500,4151.0
long_late01,40,0.1,400,4208.0
long_late01,30,0.1,300,4418.0
long_late01,20,0.1,200,4824.0
long_late01,10,0.1,100,5045.0
long_late01,10,0.01,1000,3732.0
long_late01,10,0.009,1111,3733.0
long_late01,10,0.008,1250,3685.0
long_late01,10,0.007,1428,3685.0
long_late01,10,0.006,1666,3523.0
long_late01,10,0.005,2000,3479.0
long_late01,10,0.004,2500,3376.0
long_late01,10,0.003,3333,3500.0
long_late01,10,0.002,5000,3383.0
long_late01,10,0.001,10000,3361.0
long_late01,10,0.01,1000,3847.0
long_late01,9,0.01,900,3816.0
long_late01,8,0.01,800,3992.0
long_late01,7,0.01,700,3891.0
long_late01,6,0.01,600,3996.0
long_late01,5,0.01,500,4136.0
long_late01,4,0.01,400,4261.0
long_late01,3,0.01,300,4495.0
long_late01,2,0.01,200,4741.0
long_late01,1,0.01,100,5078.0
