Dateiname,StartTemperatur,CoolingRate,IterationsAnzahl,Score
medium01,10000,10.0,1000,669.0
medium01,10000,9.0,1111,651.0
medium01,10000,8.0,1250,661.0
medium01,10000,7.0,1428,662.0
medium01,10000,6.0,1666,653.0
medium01,10000,5.0,2000,653.0
medium01,10000,4.0,2500,647.0
medium01,10000,3.0,3333,649.0
medium01,10000,2.0,5000,635.0
medium01,10000,1.0,10000,632.0
medium01,10000,10.0,1000,675.0
medium01,9000,10.0,900,656.0
medium01,8000,10.0,800,673.0
medium01,7000,10.0,700,663.0
medium01,6000,10.0,600,676.0
medium01,5000,10.0,500,698.0
medium01,4000,10.0,400,694.0
medium01,3000,10.0,300,698.0
medium01,2000,10.0,200,721.0
medium01,1000,10.0,100,724.0
medium01,5000,5.0,1000,652.0
medium01,5000,4.5,1111,652.0
medium01,5000,4.0,1250,658.0
medium01,5000,3.5,1428,662.0
medium01,5000,3.0,1666,651.0
medium01,5000,2.5,2000,651.0
medium01,5000,2.0,2500,652.0
medium01,5000,1.5,3333,637.0
medium01,5000,1.0,5000,646.0
medium01,5000,0.5,10000,641.0
medium01,5000,5.0,1000,661.0
medium01,4500,5.0,900,646.0
medium01,4000,5.0,800,679.0
medium01,3500,5.0,700,678.0
medium01,3000,5.0,600,686.0
medium01,2500,5.0,500,686.0
medium01,2000,5.0,400,692.0
medium01,1500,5.0,300,692.0
medium01,1000,5.0,200,697.0
medium01,500,5.0,100,742.0
medium01,1000,1.0,1000,667.0
medium01,1000,0.9,1111,670.0
medium01,1000,0.8,1250,661.0
medium01,1000,0.7,1428,655.0
medium01,1000,0.6,1666,666.0
medium01,1000,0.5,2000,657.0
medium01,1000,0.4,2500,654.0
medium01,1000,0.3,3333,642.0
medium01,1000,0.2,5000,641.0
medium01,1000,0.1,10000,636.0
medium01,1000,1.0,1000,660.0
medium01,900,1.0,900,672.0
medium01,800,1.0,800,667.0
medium01,700,1.0,700,675.0
medium01,600,1.0,600,685.0
medium01,500,1.0,500,678.0
medium01,400,1.0,400,680.0
medium01,300,1.0,300,690.0
medium01,200,1.0,200,709.0
medium01,100,1.0,100,723.0
medium01,500,0.5,1000,664.0
medium01,500,0.45,1111,667.0
medium01,500,0.4,1250,662.0
medium01,500,0.35,1428,659.0
medium01,500,0.3,1666,653.0
medium01,500,0.25,2000,659.0
medium01,500,0.2,2500,654.0
medium01,500,0.15,3333,642.0
medium01,500,0.1,5000,641.0
medium01,500,0.05,10000,637.0
medium01,500,0.5,1000,673.0
medium01,450,0.5,900,673.0
medium01,400,0.5,800,669.0
medium01,350,0.5,700,679.0
medium01,300,0.5,600,670.0
medium01,250,0.5,500,677.0
medium01,200,0.5,400,686.0
medium01,150,0.5,300,689.0
medium01,100,0.5,200,706.0
medium01,50,0.5,100,737.0
medium01,100,0.1,1000,664.0
medium01,100,0.09,1111,659.0
medium01,100,0.08,1250,653.0
medium01,100,0.07,1428,660.0
medium01,100,0.06,1666,656.0
medium01,100,0.05,2000,652.0
medium01,100,0.04,2500,652.0
medium01,100,0.03,3333,650.0
medium01,100,0.02,5000,643.0
medium01,100,0.01,10000,635.0
medium01,100,0.1,1000,671.0
medium01,90,0.1,900,660.0
medium01,80,0.1,800,665.0
medium01,70,0.1,700,673.0
medium01,60,0.1,600,685.0
medium01,50,0.1,500,687.0
medium01,40,0.1,400,673.0
medium01,30,0.1,300,691.0
medium01,20,0.1,200,725.0
medium01,10,0.1,100,723.0
medium01,10,0.01,1000,654.0
medium01,10,0.009,1111,666.0
medium01,10,0.008,1250,658.0
medium01,10,0.007,1428,665.0
medium01,10,0.006,1666,652.0
medium01,10,0.005,2000,652.0
medium01,10,0.004,2500,652.0
medium01,10,0.003,3333,644.0
medium01,10,0.002,5000,649.0
medium01,10,0.001,10000,632.0
medium01,10,0.01,1000,659.0
medium01,9,0.01,900,661.0
medium01,8,0.01,800,666.0
medium01,7,0.01,700,666.0
medium01,6,0.01,600,673.0
medium01,5,0.01,500,680.0
medium01,4,0.01,400,693.0
medium01,3,0.01,300,683.0
medium01,2,0.01,200,700.0
medium01,1,0.01,100,729.0
