Dateiname,StartTemperatur,CoolingRate,IterationsAnzahl,Score
medium_hidden01,10000,10.0,1000,2513.0
medium_hidden01,10000,9.0,1111,2610.0
medium_hidden01,10000,8.0,1250,2577.0
medium_hidden01,10000,7.0,1428,2636.0
medium_hidden01,10000,6.0,1666,2609.0
medium_hidden01,10000,5.0,2000,2614.0
medium_hidden01,10000,4.0,2500,2538.0
medium_hidden01,10000,3.0,3333,2651.0
medium_hidden01,10000,2.0,5000,2630.0
medium_hidden01,10000,1.0,10000,2578.0
medium_hidden01,10000,10.0,1000,2521.0
medium_hidden01,9000,10.0,900,2588.0
medium_hidden01,8000,10.0,800,2612.0
medium_hidden01,7000,10.0,700,2653.0
medium_hidden01,6000,10.0,600,2567.0
medium_hidden01,5000,10.0,500,2630.0
medium_hidden01,4000,10.0,400,2571.0
medium_hidden01,3000,10.0,300,2735.0
medium_hidden01,2000,10.0,200,2609.0
medium_hidden01,1000,10.0,100,2919.0
medium_hidden01,5000,5.0,1000,2549.0
medium_hidden01,5000,4.5,1111,2635.0
medium_hidden01,5000,4.0,1250,2582.0
medium_hidden01,5000,3.5,1428,2536.0
medium_hidden01,5000,3.0,1666,2488.0
medium_hidden01,5000,2.5,2000,2552.0
medium_hidden01,5000,2.0,2500,2589.0
medium_hidden01,5000,1.5,3333,2509.0
medium_hidden01,5000,1.0,5000,2566.0
medium_hidden01,5000,0.5,10000,2571.0
medium_hidden01,5000,5.0,1000,2598.0
medium_hidden01,4500,5.0,900,2643.0
medium_hidden01,4000,5.0,800,2628.0
medium_hidden01,3500,5.0,700,2563.0
medium_hidden01,3000,5.0,600,2609.0
medium_hidden01,2500,5.0,500,2541.0
medium_hidden01,2000,5.0,400,2566.0
medium_hidden01,1500,5.0,300,2621.0
medium_hidden01,1000,5.0,200,2575.0
medium_hidden01,500,5.0,100,2706.0
medium_hidden01,1000,1.0,1000,2543.0
medium_hidden01,1000,0.9,1111,2689.0
medium_hidden01,1000,0.8,1250,2555.0
medium_hidden01,1000,0.7,1428,2603.0
medium_hidden01,1000,0.6,1666,2522.0
medium_hidden01,1000,0.5,2000,2634.0
medium_hidden01,1000,0.4,2500,2522.0
medium_hidden01,1000,0.3,3333,2634.0
medium_hidden01,1000,0.2,5000,2525.0
medium_hidden01,1000,0.1,10000,2618.0
medium_hidden01,1000,1.0,1000,2617.0
medium_hidden01,900,1.0,900,2544.0
medium_hidden01,800,1.0,800,2580.0
medium_hidden01,700,1.0,700,2517.0
medium_hidden01,600,1.0,600,2473.0
medium_hidden01,500,1.0,500,2521.0
medium_hidden01,400,1.0,400,2569.0
medium_hidden01,300,1.0,300,2552.0
medium_hidden01,200,1.0,200,2590.0
medium_hidden01,100,1.0,100,2768.0
medium_hidden01,500,0.5,1000,2516.0
medium_hidden01,500,0.45,1111,2672.0
medium_hidden01,500,0.4,1250,2611.0
medium_hidden01,500,0.35,1428,2533.0
medium_hidden01,500,0.3,1666,2664.0
medium_hidden01,500,0.25,2000,2538.0
medium_hidden01,500,0.2,2500,2529.0
medium_hidden01,500,0.15,3333,2626.0
medium_hidden01,500,0.1,5000,2664.0
medium_hidden01,500,0.05,10000,2512.0
medium_hidden01,500,0.5,1000,2578.0
medium_hidden01,450,0.5,900,2706.0
medium_hidden01,400,0.5,800,2593.0
medium_hidden01,350,0.5,700,2656.0
medium_hidden01,300,0.5,600,2597.0
medium_hidden01,250,0.5,500,2605.0
medium_hidden01,200,0.5,400,2504.0
medium_hidden01,150,0.5,300,2548.0
medium_hidden01,100,0.5,200,2573.0
medium_hidden01,50,0.5,100,2881.0
medium_hidden01,100,0.1,1000,2689.0
medium_hidden01,100,0.09,1111,2623.0
medium_hidden01,100,0.08,1250,2611.0
medium_hidden01,100,0.07,1428,2610.0
medium_hidden01,100,0.06,1666,2568.0
medium_hidden01,100,0.05,2000,2573.0
medium_hidden01,100,0.04,2500,2587.0
medium_hidden01,100,0.03,3333,2594.0
medium_hidden01,100,0.02,5000,2532.0
medium_hidden01,100,0.01,10000,2517.0
medium_hidden01,100,0.1,1000,2546.0
medium_hidden01,90,0.1,900,2534.0
medium_hidden01,80,0.1,800,2541.0
medium_hidden01,70,0.1,700,2564.0
medium_hidden01,60,0.1,600,2644.0
medium_hidden01,50,0.1,500,2660.0
medium_hidden01,40,0.1,400,2505.0
medium_hidden01,30,0.1,300,2615.0
medium_hidden01,20,0.1,200,2745.0
medium_hidden01,10,0.1,100,2789.0
medium_hidden01,10,0.01,1000,2510.0
medium_hidden01,10,0.009,1111,2615.0
medium_hidden01,10,0.008,1250,2556.0
medium_hidden01,10,0.007,1428,2543.0
medium_hidden01,10,0.006,1666,2550.0
medium_hidden01,10,0.005,2000,2604.0
medium_hidden01,10,0.004,2500,2577.0
medium_hidden01,10,0.003,3333,2624.0
medium_hidden01,10,0.002,5000,2581.0
medium_hidden01,10,0.001,10000,2587.0
medium_hidden01,10,0.01,1000,2643.0
medium_hidden01,9,0.01,900,2621.0
medium_hidden01,8,0.01,800,2555.0
medium_hidden01,7,0.01,700,2499.0
medium_hidden01,6,0.01,600,2510.0
medium_hidden01,5,0.01,500,2563.0
medium_hidden01,4,0.01,400,2667.0
medium_hidden01,3,0.01,300,2583.0
medium_hidden01,2,0.01,200,2608.0
medium_hidden01,1,0.01,100,2811.0
