Dateiname,StartTemperatur,CoolingRate,IterationsAnzahl,Score
medium_hint01,10000,10.0,1000,1093.0
medium_hint01,10000,9.0,1111,1117.0
medium_hint01,10000,8.0,1250,1091.0
medium_hint01,10000,7.0,1428,1089.0
medium_hint01,10000,6.0,1666,1070.0
medium_hint01,10000,5.0,2000,1075.0
medium_hint01,10000,4.0,2500,1037.0
medium_hint01,10000,3.0,3333,1047.0
medium_hint01,10000,2.0,5000,1052.0
medium_hint01,10000,1.0,10000,1003.0
medium_hint01,10000,10.0,1000,1096.0
medium_hint01,9000,10.0,900,1167.0
medium_hint01,8000,10.0,800,1118.0
medium_hint01,7000,10.0,700,1170.0
medium_hint01,6000,10.0,600,1208.0
medium_hint01,5000,10.0,500,1202.0
medium_hint01,4000,10.0,400,1258.0
medium_hint01,3000,10.0,300,1380.0
medium_hint01,2000,10.0,200,1534.0
medium_hint01,1000,10.0,100,1738.0
medium_hint01,5000,5.0,1000,1126.0
medium_hint01,5000,4.5,1111,1135.0
medium_hint01,5000,4.0,1250,1082.0
medium_hint01,5000,3.5,1428,1095.0
medium_hint01,5000,3.0,1666,1095.0
medium_hint01,5000,2.5,2000,1046.0
medium_hint01,5000,2.0,2500,1058.0
medium_hint01,5000,1.5,3333,1056.0
medium_hint01,5000,1.0,5000,1054.0
medium_hint01,5000,0.5,10000,1023.0
medium_hint01,5000,5.0,1000,1144.0
medium_hint01,4500,5.0,900,1132.0
medium_hint01,4000,5.0,800,1137.0
medium_hint01,3500,5.0,700,1203.0
medium_hint01,3000,5.0,600,1194.0
medium_hint01,2500,5.0,500,1193.0
medium_hint01,2000,5.0,400,1296.0
medium_hint01,1500,5.0,300,1424.0
medium_hint01,1000,5.0,200,1510.0
medium_hint01,500,5.0,100,1739.0
medium_hint01,1000,1.0,1000,1105.0
medium_hint01,1000,0.9,1111,1100.0
medium_hint01,1000,0.8,1250,1096.0
medium_hint01,1000,0.7,1428,1096.0
medium_hint01,1000,0.6,1666,1089.0
medium_hint01,1000,0.5,2000,1088.0
medium_hint01,1000,0.4,2500,1075.0
medium_hint01,1000,0.3,3333,1043.0
medium_hint01,1000,0.2,5000,1069.0
medium_hint01,1000,0.1,10000,1033.0
medium_hint01,1000,1.0,1000,1130.0
medium_hint01,900,1.0,900,1155.0
medium_hint01,800,1.0,800,1152.0
medium_hint01,700,1.0,700,1158.0
medium_hint01,600,1.0,600,1175.0
medium_hint01,500,1.0,500,1229.0
medium_hint01,400,1.0,400,1306.0
medium_hint01,300,1.0,300,1402.0
medium_hint01,200,1.0,200,1519.0
medium_hint01,100,1.0,100,1768.0
medium_hint01,500,0.5,1000,1110.0
medium_hint01,500,0.45,1111,1089.0
medium_hint01,500,0.4,1250,1109.0
medium_hint01,500,0.35,1428,1103.0
medium_hint01,500,0.3,1666,1099.0
medium_hint01,500,0.25,2000,1061.0
medium_hint01,500,0.2,2500,1059.0
medium_hint01,500,0.15,3333,1055.0
medium_hint01,500,0.1,5000,1028.0
medium_hint01,500,0.05,10000,1027.0
medium_hint01,500,0.5,1000,1130.0
medium_hint01,450,0.5,900,1147.0
medium_hint01,400,0.5,800,1159.0
medium_hint01,350,0.5,700,1201.0
medium_hint01,300,0.5,600,1181.0
medium_hint01,250,0.5,500,1248.0
medium_hint01,200,0.5,400,1310.0
medium_hint01,150,0.5,300,1429.0
medium_hint01,100,0.5,200,1511.0
medium_hint01,50,0.5,100,1716.0
medium_hint01,100,0.1,1000,1077.0
medium_hint01,100,0.09,1111,1127.0
medium_hint01,100,0.08,1250,1099.0
medium_hint01,100,0.07,1428,1078.0
medium_hint01,100,0.06,1666,1072.0
medium_hint01,100,0.05,2000,1050.0
medium_hint01,100,0.04,2500,1044.0
medium_hint01,100,0.03,3333,1043.0
medium_hint01,100,0.02,5000,1046.0
medium_hint01,100,0.01,10000,994.0
medium_hint01,100,0.1,1000,1095.0
medium_hint01,90,0.1,900,1147.0
medium_hint01,80,0.1,800,1139.0
medium_hint01,70,0.1,700,1151.0
medium_hint01,60,0.1,600,1191.0
medium_hint01,50,0.1,500,1256.0
medium_hint01,40,0.1,400,1292.0
medium_hint01,30,0.1,300,1351.0
medium_hint01,20,0.1,200,1543.0
medium_hint01,10,0.1,100,1694.0
medium_hint01,10,0.01,1000,1116.0
medium_hint01,10,0.009,1111,1114.0
medium_hint01,10,0.008,1250,1088.0
medium_hint01,10,0.007,1428,1103.0
medium_hint01,10,0.006,1666,1108.0
medium_hint01,10,0.005,2000,1086.0
medium_hint01,10,0.004,2500,1051.0
medium_hint01,10,0.003,3333,1064.0
medium_hint01,10,0.002,5000,1068.0
medium_hint01,10,0.001,10000,1025.0
medium_hint01,10,0.01,1000,1095.0
medium_hint01,9,0.01,900,1130.0
medium_hint01,8,0.01,800,1119.0
medium_hint01,7,0.01,700,1167.0
medium_hint01,6,0.01,600,1202.0
medium_hint01,5,0.01,500,1249.0
medium_hint01,4,0.01,400,1273.0
medium_hint01,3,0.01,300,1404.0
medium_hint01,2,0.01,200,1518.0
medium_hint01,1,0.01,100,1775.0
