Dateiname,StartTemperatur,CoolingRate,IterationsAnzahl,Score
medium_late01,10000,10.0,1000,2232.0
medium_late01,10000,9.0,1111,2155.0
medium_late01,10000,8.0,1250,2113.0
medium_late01,10000,7.0,1428,2124.0
medium_late01,10000,6.0,1666,2192.0
medium_late01,10000,5.0,2000,2118.0
medium_late01,10000,4.0,2500,2066.0
medium_late01,10000,3.0,3333,2089.0
medium_late01,10000,2.0,5000,2066.0
medium_late01,10000,1.0,10000,2019.0
medium_late01,10000,10.0,1000,2206.0
medium_late01,9000,10.0,900,2202.0
medium_late01,8000,10.0,800,2179.0
medium_late01,7000,10.0,700,2207.0
medium_late01,6000,10.0,600,2332.0
medium_late01,5000,10.0,500,2414.0
medium_late01,4000,10.0,400,2580.0
medium_late01,3000,10.0,300,2543.0
medium_late01,2000,10.0,200,2896.0
medium_late01,1000,10.0,100,3280.0
medium_late01,5000,5.0,1000,2202.0
medium_late01,5000,4.5,1111,2180.0
medium_late01,5000,4.0,1250,2204.0
medium_late01,5000,3.5,1428,2146.0
medium_late01,5000,3.0,1666,2116.0
medium_late01,5000,2.5,2000,2086.0
medium_late01,5000,2.0,2500,2128.0
medium_late01,5000,1.5,3333,2115.0
medium_late01,5000,1.0,5000,2050.0
medium_late01,5000,0.5,10000,2002.0
medium_late01,5000,5.0,1000,2226.0
medium_late01,4500,5.0,900,2186.0
medium_late01,4000,5.0,800,2204.0
medium_late01,3500,5.0,700,2228.0
medium_late01,3000,5.0,600,2367.0
medium_late01,2500,5.0,500,2349.0
medium_late01,2000,5.0,400,2470.0
medium_late01,1500,5.0,300,2687.0
medium_late01,1000,5.0,200,2856.0
medium_late01,500,5.0,100,3323.0
medium_late01,1000,1.0,1000,2138.0
medium_late01,1000,0.9,1111,2177.0
medium_late01,1000,0.8,1250,2179.0
medium_late01,1000,0.7,1428,2197.0
medium_late01,1000,0.6,1666,2084.0
medium_late01,1000,0.5,2000,2152.0
medium_late01,1000,0.4,2500,2060.0
medium_late01,1000,0.3,3333,2095.0
medium_late01,1000,0.2,5000,2022.0
medium_late01,1000,0.1,10000,2003.0
medium_late01,1000,1.0,1000,2250.0
medium_late01,900,1.0,900,2248.0
medium_late01,800,1.0,800,2213.0
medium_late01,700,1.0,700,2224.0
medium_late01,600,1.0,600,2298.0
medium_late01,500,1.0,500,2453.0
medium_late01,400,1.0,400,2442.0
medium_late01,300,1.0,300,2657.0
medium_late01,200,1.0,200,2942.0
medium_late01,100,1.0,100,3385.0
medium_late01,500,0.5,1000,2131.0
medium_late01,500,0.45,1111,2175.0
medium_late01,500,0.4,1250,2106.0
medium_late01,500,0.35,1428,2124.0
medium_late01,500,0.3,1666,2105.0
medium_late01,500,0.25,2000,2126.0
medium_late01,500,0.2,2500,2102.0
medium_late01,500,0.15,3333,2085.0
medium_late01,500,0.1,5000,2043.0
medium_late01,500,0.05,10000,1996.0
medium_late01,500,0.5,1000,2178.0
medium_late01,450,0.5,900,2234.0
medium_late01,400,0.5,800,2242.0
medium_late01,350,0.5,700,2290.0
medium_late01,300,0.5,600,2302.0
medium_late01,250,0.5,500,2439.0
medium_late01,200,0.5,400,2511.0
medium_late01,150,0.5,300,2688.0
medium_late01,100,0.5,200,2882.0
medium_late01,50,0.5,100,3347.0
medium_late01,100,0.1,1000,2172.0
medium_late01,100,0.09,1111,2246.0
medium_late01,100,0.08,1250,2151.0
medium_late01,100,0.07,1428,2118.0
medium_late01,100,0.06,1666,2154.0
medium_late01,100,0.05,2000,2139.0
medium_late01,100,0.04,2500,2078.0
medium_late01,100,0.03,3333,2076.0
medium_late01,100,0.02,5000,2054.0
medium_late01,100,0.01,10000,2012.0
medium_late01,100,0.1,1000,2198.0
medium_late01,90,0.1,900,2186.0
medium_late01,80,0.1,800,2186.0
medium_late01,70,0.1,700,2277.0
medium_late01,60,0.1,600,2298.0
medium_late01,50,0.1,500,2437.0
medium_late01,40,0.1,400,2493.0
medium_late01,30,0.1,300,2641.0
medium_late01,20,0.1,200,2986.0
medium_late01,10,0.1,100,3370.0
medium_late01,10,0.01,1000,2223.0
medium_late01,10,0.009,1111,2145.0
medium_late01,10,0.008,1250,2166.0
medium_late01,10,0.007,1428,2162.0
medium_late01,10,0.006,1666,2173.0
medium_late01,10,0.005,2000,2087.0
medium_late01,10,0.004,2500,2104.0
medium_late01,10,0.003,3333,2067.0
medium_late01,10,0.002,5000,2047.0
medium_late01,10,0.001,10000,2042.0
medium_late01,10,0.01,1000,2145.0
medium_late01,9,0.01,900,2203.0
medium_late01,8,0.01,800,2227.0
medium_late01,7,0.01,700,2274.0
medium_late01,6,0.01,600,2302.0
medium_late01,5,0.01,500,2418.0
medium_late01,4,0.01,400,2493.0
medium_late01,3,0.01,300,2677.0
medium_late01,2,0.01,200,2915.0
medium_late01,1,0.01,100,3256.0
