Dateiname,StartTemperatur,CoolingRate,IterationsAnzahl,Score
sprint01,10000,10.0,1000,187.0
sprint01,10000,9.0,1111,182.0
sprint01,10000,8.0,1250,179.0
sprint01,10000,7.0,1428,178.0
sprint01,10000,6.0,1666,177.0
sprint01,10000,5.0,2000,176.0
sprint01,10000,4.0,2500,181.0
sprint01,10000,3.0,3333,176.0
sprint01,10000,2.0,5000,176.0
sprint01,10000,1.0,10000,164.0
sprint01,10000,10.0,1000,179.0
sprint01,9000,10.0,900,183.0
sprint01,8000,10.0,800,185.0
sprint01,7000,10.0,700,180.0
sprint01,6000,10.0,600,185.0
sprint01,5000,10.0,500,196.0
sprint01,4000,10.0,400,193.0
sprint01,3000,10.0,300,190.0
sprint01,2000,10.0,200,206.0
sprint01,1000,10.0,100,212.0
sprint01,5000,5.0,1000,185.0
sprint01,5000,4.5,1111,185.0
sprint01,5000,4.0,1250,180.0
sprint01,5000,3.5,1428,185.0
sprint01,5000,3.0,1666,174.0
sprint01,5000,2.5,2000,178.0
sprint01,5000,2.0,2500,178.0
sprint01,5000,1.5,3333,179.0
sprint01,5000,1.0,5000,170.0
sprint01,5000,0.5,10000,172.0
sprint01,5000,5.0,1000,182.0
sprint01,4500,5.0,900,182.0
sprint01,4000,5.0,800,182.0
sprint01,3500,5.0,700,175.0
sprint01,3000,5.0,600,182.0
sprint01,2500,5.0,500,199.0
sprint01,2000,5.0,400,196.0
sprint01,1500,5.0,300,191.0
sprint01,1000,5.0,200,200.0
sprint01,500,5.0,100,223.0
sprint01,1000,1.0,1000,179.0
sprint01,1000,0.9,1111,180.0
sprint01,1000,0.8,1250,176.0
sprint01,1000,0.7,1428,176.0
sprint01,1000,0.6,1666,179.0
sprint01,1000,0.5,2000,181.0
sprint01,1000,0.4,2500,175.0
sprint01,1000,0.3,3333,172.0
sprint01,1000,0.2,5000,177.0
sprint01,1000,0.1,10000,169.0
sprint01,1000,1.0,1000,184.0
sprint01,900,1.0,900,181.0
sprint01,800,1.0,800,192.0
sprint01,700,1.0,700,185.0
sprint01,600,1.0,600,197.0
sprint01,500,1.0,500,183.0
sprint01,400,1.0,400,188.0
sprint01,300,1.0,300,196.0
sprint01,200,1.0,200,195.0
sprint01,100,1.0,100,216.0
sprint01,500,0.5,1000,178.0
sprint01,500,0.45,1111,181.0
sprint01,500,0.4,1250,185.0
sprint01,500,0.35,1428,181.0
sprint01,500,0.3,1666,181.0
sprint01,500,0.25,2000,177.0
sprint01,500,0.2,2500,176.0
sprint01,500,0.15,3333,176.0
sprint01,500,0.1,5000,175.0
sprint01,500,0.05,10000,168.0
sprint01,500,0.5,1000,186.0
sprint01,450,0.5,900,186.0
sprint01,400,0.5,800,182.0
sprint01,350,0.5,700,187.0
sprint01,300,0.5,600,183.0
sprint01,250,0.5,500,185.0
sprint01,200,0.5,400,201.0
sprint01,150,0.5,300,187.0
sprint01,100,0.5,200,202.0
sprint01,50,0.5,100,204.0
sprint01,100,0.1,1000,180.0
sprint01,100,0.09,1111,185.0
sprint01,100,0.08,1250,179.0
sprint01,100,0.07,1428,182.0
sprint01,100,0.06,1666,180.0
sprint01,100,0.05,2000,177.0
sprint01,100,0.04,2500,177.0
sprint01,100,0.03,3333,177.0
sprint01,100,0.02,5000,175.0
sprint01,100,0.01,10000,170.0
sprint01,100,0.1,1000,184.0
sprint01,90,0.1,900,182.0
sprint01,80,0.1,800,188.0
sprint01,70,0.1,700,184.0
sprint01,60,0.1,600,190.0
sprint01,50,0.1,500,194.0
sprint01,40,0.1,400,200.0
sprint01,30,0.1,300,194.0
sprint01,20,0.1,200,199.0
sprint01,10,0.1,100,221.0
sprint01,10,0.01,1000,183.0
sprint01,10,0.009,1111,183.0
sprint01,10,0.008,1250,181.0
sprint01,10,0.007,1428,180.0
sprint01,10,0.006,1666,180.0
sprint01,10,0.005,2000,175.0
sprint01,10,0.004,2500,175.0
sprint01,10,0.003,3333,174.0
sprint01,10,0.002,5000,178.0
sprint01,10,0.001,10000,171.0
sprint01,10,0.01,1000,183.0
sprint01,9,0.01,900,188.0
sprint01,8,0.01,800,186.0
sprint01,7,0.01,700,190.0
sprint01,6,0.01,600,184.0
sprint01,5,0.01,500,192.0
sprint01,4,0.01,400,190.0
sprint01,3,0.01,300,197.0
sprint01,2,0.01,200,196.0
sprint01,1,0.01,100,225.0
