Dateiname,StartTemperatur,CoolingRate,IterationsAnzahl,Score
sprint_hidden01,10000,10.0,1000,276.0
sprint_hidden01,10000,9.0,1111,274.0
sprint_hidden01,10000,8.0,1250,280.0
sprint_hidden01,10000,7.0,1428,283.0
sprint_hidden01,10000,6.0,1666,280.0
sprint_hidden01,10000,5.0,2000,275.0
sprint_hidden01,10000,4.0,2500,267.0
sprint_hidden01,10000,3.0,3333,261.0
sprint_hidden01,10000,2.0,5000,270.0
sprint_hidden01,10000,1.0,10000,255.0
sprint_hidden01,10000,10.0,1000,288.0
sprint_hidden01,9000,10.0,900,291.0
sprint_hidden01,8000,10.0,800,274.0
sprint_hidden01,7000,10.0,700,279.0
sprint_hidden01,6000,10.0,600,285.0
sprint_hidden01,5000,10.0,500,293.0
sprint_hidden01,4000,10.0,400,303.0
sprint_hidden01,3000,10.0,300,294.0
sprint_hidden01,2000,10.0,200,329.0
sprint_hidden01,1000,10.0,100,378.0
sprint_hidden01,5000,5.0,1000,282.0
sprint_hidden01,5000,4.5,1111,278.0
sprint_hidden01,5000,4.0,1250,277.0
sprint_hidden01,5000,3.5,1428,273.0
sprint_hidden01,5000,3.0,1666,271.0
sprint_hidden01,5000,2.5,2000,272.0
sprint_hidden01,5000,2.0,2500,274.0
sprint_hidden01,5000,1.5,3333,265.0
sprint_hidden01,5000,1.0,5000,267.0
sprint_hidden01,5000,0.5,10000,259.0
sprint_hidden01,5000,5.0,1000,269.0
sprint_hidden01,4500,5.0,900,271.0
sprint_hidden01,4000,5.0,800,270.0
sprint_hidden01,3500,5.0,700,285.0
sprint_hidden01,3000,5.0,600,287.0
sprint_hidden01,2500,5.0,500,300.0
sprint_hidden01,2000,5.0,400,298.0
sprint_hidden01,1500,5.0,300,294.0
sprint_hidden01,1000,5.0,200,344.0
sprint_hidden01,500,5.0,100,379.0
sprint_hidden01,1000,1.0,1000,276.0
sprint_hidden01,1000,0.9,1111,287.0
sprint_hidden01,1000,0.8,1250,274.0
sprint_hidden01,1000,0.7,1428,282.0
sprint_hidden01,1000,0.6,1666,280.0
sprint_hidden01,1000,0.5,2000,274.0
sprint_hidden01,1000,0.4,2500,271.0
sprint_hidden01,1000,0.3,3333,261.0
sprint_hidden01,1000,0.2,5000,264.0
sprint_hidden01,1000,0.1,10000,252.0
sprint_hidden01,1000,1.0,1000,278.0
sprint_hidden01,900,1.0,900,280.0
sprint_hidden01,800,1.0,800,281.0
sprint_hidden01,700,1.0,700,279.0
sprint_hidden01,600,1.0,600,285.0
sprint_hidden01,500,1.0,500,298.0
sprint_hidden01,400,1.0,400,305.0
sprint_hidden01,300,1.0,300,299.0
sprint_hidden01,200,1.0,200,334.0
sprint_hidden01,100,1.0,100,364.0
sprint_hidden01,500,0.5,1000,275.0
sprint_hidden01,500,0.45,1111,283.0
sprint_hidden01,500,0.4,1250,277.0
sprint_hidden01,500,0.35,1428,267.0
sprint_hidden01,500,0.3,1666,265.0
sprint_hidden01,500,0.25,2000,267.0
sprint_hidden01,500,0.2,2500,272.0
sprint_hidden01,500,0.15,3333,263.0
sprint_hidden01,500,0.1,5000,267.0
sprint_hidden01,500,0.05,10000,263.0
sprint_hidden01,500,0.5,1000,280.0
sprint_hidden01,450,0.5,900,277.0
sprint_hidden01,400,0.5,800,281.0
sprint_hidden01,350,0.5,700,272.0
sprint_hidden01,300,0.5,600,284.0
sprint_hidden01,250,0.5,500,280.0
sprint_hidden01,200,0.5,400,291.0
sprint_hidden01,150,0.5,300,312.0
sprint_hidden01,100,0.5,200,318.0
sprint_hidden01,50,0.5,100,385.0
sprint_hidden01,100,0.1,1000,268.0
sprint_hidden01,100,0.09,1111,277.0
sprint_hidden01,100,0.08,1250,279.0
sprint_hidden01,100,0.07,1428,275.0
sprint_hidden01,100,0.06,1666,270.0
sprint_hidden01,100,0.05,2000,270.0
sprint_hidden01,100,0.04,2500,269.0
sprint_hidden01,100,0.03,3333,258.0
sprint_hidden01,100,0.02,5000,255.0
sprint_hidden01,100,0.01,10000,257.0
sprint_hidden01,100,0.1,1000,278.0
sprint_hidden01,90,0.1,900,289.0
sprint_hidden01,80,0.1,800,291.0
sprint_hidden01,70,0.1,700,287.0
sprint_hidden01,60,0.1,600,291.0
sprint_hidden01,50,0.1,500,271.0
sprint_hidden01,40,0.1,400,301.0
sprint_hidden01,30,0.1,300,298.0
sprint_hidden01,20,0.1,200,311.0
sprint_hidden01,10,0.1,100,369.0
sprint_hidden01,10,0.01,1000,285.0
sprint_hidden01,10,0.009,1111,285.0
sprint_hidden01,10,0.008,1250,279.0
sprint_hidden01,10,0.007,1428,269.0
sprint_hidden01,10,0.006,1666,275.0
sprint_hidden01,10,0.005,2000,270.0
sprint_hidden01,10,0.004,2500,262.0
sprint_hidden01,10,0.003,3333,263.0
sprint_hidden01,10,0.002,5000,266.0
sprint_hidden01,10,0.001,10000,261.0
sprint_hidden01,10,0.01,1000,277.0
sprint_hidden01,9,0.01,900,281.0
sprint_hidden01,8,0.01,800,292.0
sprint_hidden01,7,0.01,700,276.0
sprint_hidden01,6,0.01,600,295.0
sprint_hidden01,5,0.01,500,280.0
sprint_hidden01,4,0.01,400,282.0
sprint_hidden01,3,0.01,300,311.0
sprint_hidden01,2,0.01,200,326.0
sprint_hidden01,1,0.01,100,384.0
