Dateiname,StartTemperatur,CoolingRate,IterationsAnzahl,Score
sprint_hint01,10000,10.0,1000,462.0
sprint_hint01,10000,9.0,1111,434.0
sprint_hint01,10000,8.0,1250,451.0
sprint_hint01,10000,7.0,1428,430.0
sprint_hint01,10000,6.0,1666,434.0
sprint_hint01,10000,5.0,2000,436.0
sprint_hint01,10000,4.0,2500,427.0
sprint_hint01,10000,3.0,3333,417.0
sprint_hint01,10000,2.0,5000,414.0
sprint_hint01,10000,1.0,10000,413.0
sprint_hint01,10000,10.0,1000,448.0
sprint_hint01,9000,10.0,900,446.0
sprint_hint01,8000,10.0,800,442.0
sprint_hint01,7000,10.0,700,442.0
sprint_hint01,6000,10.0,600,453.0
sprint_hint01,5000,10.0,500,475.0
sprint_hint01,4000,10.0,400,457.0
sprint_hint01,3000,10.0,300,484.0
sprint_hint01,2000,10.0,200,500.0
sprint_hint01,1000,10.0,100,626.0
sprint_hint01,5000,5.0,1000,456.0
sprint_hint01,5000,4.5,1111,436.0
sprint_hint01,5000,4.0,1250,443.0
sprint_hint01,5000,3.5,1428,434.0
sprint_hint01,5000,3.0,1666,425.0
sprint_hint01,5000,2.5,2000,430.0
sprint_hint01,5000,2.0,2500,414.0
sprint_hint01,5000,1.5,3333,407.0
sprint_hint01,5000,1.0,5000,415.0
sprint_hint01,5000,0.5,10000,389.0
sprint_hint01,5000,5.0,1000,448.0
sprint_hint01,4500,5.0,900,458.0
sprint_hint01,4000,5.0,800,446.0
sprint_hint01,3500,5.0,700,457.0
sprint_hint01,3000,5.0,600,464.0
sprint_hint01,2500,5.0,500,454.0
sprint_hint01,2000,5.0,400,476.0
sprint_hint01,1500,5.0,300,487.0
sprint_hint01,1000,5.0,200,474.0
sprint_hint01,500,5.0,100,587.0
sprint_hint01,1000,1.0,1000,434.0
sprint_hint01,1000,0.9,1111,440.0
sprint_hint01,1000,0.8,1250,441.0
sprint_hint01,1000,0.7,1428,435.0
sprint_hint01,1000,0.6,1666,439.0
sprint_hint01,1000,0.5,2000,427.0
sprint_hint01,1000,0.4,2500,445.0
sprint_hint01,1000,0.3,3333,422.0
sprint_hint01,1000,0.2,5000,419.0
sprint_hint01,1000,0.1,10000,415.0
sprint_hint01,1000,1.0,1000,451.0
sprint_hint01,900,1.0,900,445.0
sprint_hint01,800,1.0,800,474.0
sprint_hint01,700,1.0,700,471.0
sprint_hint01,600,1.0,600,452.0
sprint_hint01,500,1.0,500,482.0
sprint_hint01,400,1.0,400,472.0
sprint_hint01,300,1.0,300,502.0
sprint_hint01,200,1.0,200,539.0
sprint_hint01,100,1.0,100,579.0
sprint_hint01,500,0.5,1000,476.0
sprint_hint01,500,0.45,1111,432.0
sprint_hint01,500,0.4,1250,433.0
sprint_hint01,500,0.35,1428,417.0
sprint_hint01,500,0.3,1666,424.0
sprint_hint01,500,0.25,2000,417.0
sprint_hint01,500,0.2,2500,430.0
sprint_hint01,500,0.15,3333,420.0
sprint_hint01,500,0.1,5000,423.0
sprint_hint01,500,0.05,10000,408.0
sprint_hint01,500,0.5,1000,458.0
sprint_hint01,450,0.5,900,457.0
sprint_hint01,400,0.5,800,449.0
sprint_hint01,350,0.5,700,449.0
sprint_hint01,300,0.5,600,461.0
sprint_hint01,250,0.5,500,466.0
sprint_hint01,200,0.5,400,482.0
sprint_hint01,150,0.5,300,487.0
sprint_hint01,100,0.5,200,535.0
sprint_hint01,50,0.5,100,565.0
sprint_hint01,100,0.1,1000,441.0
sprint_hint01,100,0.09,1111,439.0
sprint_hint01,100,0.08,1250,438.0
sprint_hint01,100,0.07,1428,424.0
sprint_hint01,100,0.06,1666,440.0
sprint_hint01,100,0.05,2000,427.0
sprint_hint01,100,0.04,2500,431.0
sprint_hint01,100,0.03,3333,417.0
sprint_hint01,100,0.02,5000,413.0
sprint_hint01,100,0.01,10000,385.0
sprint_hint01,100,0.1,1000,438.0
sprint_hint01,90,0.1,900,448.0
sprint_hint01,80,0.1,800,424.0
sprint_hint01,70,0.1,700,443.0
sprint_hint01,60,0.1,600,467.0
sprint_hint01,50,0.1,500,456.0
sprint_hint01,40,0.1,400,487.0
sprint_hint01,30,0.1,300,475.0
sprint_hint01,20,0.1,200,537.0
sprint_hint01,10,0.1,100,593.0
sprint_hint01,10,0.01,1000,442.0
sprint_hint01,10,0.009,1111,414.0
sprint_hint01,10,0.008,1250,439.0
sprint_hint01,10,0.007,1428,415.0
sprint_hint01,10,0.006,1666,428.0
sprint_hint01,10,0.005,2000,431.0
sprint_hint01,10,0.004,2500,426.0
sprint_hint01,10,0.003,3333,406.0
sprint_hint01,10,0.002,5000,402.0
sprint_hint01,10,0.001,10000,405.0
sprint_hint01,10,0.01,1000,440.0
sprint_hint01,9,0.01,900,429.0
sprint_hint01,8,0.01,800,459.0
sprint_hint01,7,0.01,700,446.0
sprint_hint01,6,0.01,600,447.0
sprint_hint01,5,0.01,500,480.0
sprint_hint01,4,0.01,400,466.0
sprint_hint01,3,0.01,300,483.0
sprint_hint01,2,0.01,200,491.0
sprint_hint01,1,0.01,100,542.0
