Dateiname,StartTemperatur,CoolingRate,IterationsAnzahl,Score
sprint_late01,10000,10.0,1000,219.0
sprint_late01,10000,9.0,1111,210.0
sprint_late01,10000,8.0,1250,208.0
sprint_late01,10000,7.0,1428,208.0
sprint_late01,10000,6.0,1666,211.0
sprint_late01,10000,5.0,2000,216.0
sprint_late01,10000,4.0,2500,209.0
sprint_late01,10000,3.0,3333,206.0
sprint_late01,10000,2.0,5000,203.0
sprint_late01,10000,1.0,10000,204.0
sprint_late01,10000,10.0,1000,224.0
sprint_late01,9000,10.0,900,217.0
sprint_late01,8000,10.0,800,219.0
sprint_late01,7000,10.0,700,218.0
sprint_late01,6000,10.0,600,224.0
sprint_late01,5000,10.0,500,228.0
sprint_late01,4000,10.0,400,224.0
sprint_late01,3000,10.0,300,232.0
sprint_late01,2000,10.0,200,239.0
sprint_late01,1000,10.0,100,267.0
sprint_late01,5000,5.0,1000,220.0
sprint_late01,5000,4.5,1111,216.0
sprint_late01,5000,4.0,1250,215.0
sprint_late01,5000,3.5,1428,218.0
sprint_late01,5000,3.0,1666,218.0
sprint_late01,5000,2.5,2000,216.0
sprint_late01,5000,2.0,2500,215.0
sprint_late01,5000,1.5,3333,206.0
sprint_late01,5000,1.0,5000,204.0
sprint_late01,5000,0.5,10000,203.0
sprint_late01,5000,5.0,1000,217.0
sprint_late01,4500,5.0,900,227.0
sprint_late01,4000,5.0,800,214.0
sprint_late01,3500,5.0,700,221.0
sprint_late01,3000,5.0,600,218.0
sprint_late01,2500,5.0,500,232.0
sprint_late01,2000,5.0,400,228.0
sprint_late01,1500,5.0,300,229.0
sprint_late01,1000,5.0,200,238.0
sprint_late01,500,5.0,100,276.0
sprint_late01,1000,1.0,1000,222.0
sprint_late01,1000,0.9,1111,220.0
sprint_late01,1000,0.8,1250,220.0
sprint_late01,1000,0.7,1428,214.0
sprint_late01,1000,0.6,1666,213.0
sprint_late01,1000,0.5,2000,212.0
sprint_late01,1000,0.4,2500,214.0
sprint_late01,1000,0.3,3333,211.0
sprint_late01,1000,0.2,5000,207.0
sprint_late01,1000,0.1,10000,203.0
sprint_late01,1000,1.0,1000,214.0
sprint_late01,900,1.0,900,212.0
sprint_late01,800,1.0,800,221.0
sprint_late01,700,1.0,700,214.0
sprint_late01,600,1.0,600,229.0
sprint_late01,500,1.0,500,227.0
sprint_late01,400,1.0,400,217.0
sprint_late01,300,1.0,300,235.0
sprint_late01,200,1.0,200,244.0
sprint_late01,100,1.0,100,274.0
sprint_late01,500,0.5,1000,222.0
sprint_late01,500,0.45,1111,216.0
sprint_late01,500,0.4,1250,213.0
sprint_late01,500,0.35,1428,217.0
sprint_late01,500,0.3,1666,216.0
sprint_late01,500,0.25,2000,212.0
sprint_late01,500,0.2,2500,211.0
sprint_late01,500,0.15,3333,207.0
sprint_late01,500,0.1,5000,206.0
sprint_late01,500,0.05,10000,202.0
sprint_late01,500,0.5,1000,214.0
sprint_late01,450,0.5,900,217.0
sprint_late01,400,0.5,800,230.0
sprint_late01,350,0.5,700,220.0
sprint_late01,300,0.5,600,221.0
sprint_late01,250,0.5,500,225.0
sprint_late01,200,0.5,400,230.0
sprint_late01,150,0.5,300,235.0
sprint_late01,100,0.5,200,244.0
sprint_late01,50,0.5,100,279.0
sprint_late01,100,0.1,1000,219.0
sprint_late01,100,0.09,1111,214.0
sprint_late01,100,0.08,1250,218.0
sprint_late01,100,0.07,1428,220.0
sprint_late01,100,0.06,1666,210.0
sprint_late01,100,0.05,2000,216.0
sprint_late01,100,0.04,2500,213.0
sprint_late01,100,0.03,3333,210.0
sprint_late01,100,0.02,5000,206.0
sprint_late01,100,0.01,10000,205.0
sprint_late01,100,0.1,1000,215.0
sprint_late01,90,0.1,900,215.0
sprint_late01,80,0.1,800,218.0
sprint_late01,70,0.1,700,218.0
sprint_late01,60,0.1,600,221.0
sprint_late01,50,0.1,500,228.0
sprint_late01,40,0.1,400,237.0
sprint_late01,30,0.1,300,238.0
sprint_late01,20,0.1,200,246.0
sprint_late01,10,0.1,100,283.0
sprint_late01,10,0.01,1000,217.0
sprint_late01,10,0.009,1111,224.0
sprint_late01,10,0.008,1250,217.0
sprint_late01,10,0.007,1428,217.0
sprint_late01,10,0.006,1666,218.0
sprint_late01,10,0.005,2000,214.0
sprint_late01,10,0.004,2500,214.0
sprint_late01,10,0.003,3333,211.0
sprint_late01,10,0.002,5000,207.0
sprint_late01,10,0.001,10000,204.0
sprint_late01,10,0.01,1000,213.0
sprint_late01,9,0.01,900,219.0
sprint_late01,8,0.01,800,222.0
sprint_late01,7,0.01,700,221.0
sprint_late01,6,0.01,600,224.0
sprint_late01,5,0.01,500,224.0
sprint_late01,4,0.01,400,229.0
sprint_late01,3,0.01,300,237.0
sprint_late01,2,0.01,200,243.0
sprint_late01,1,0.01,100,276.0
