Dateiname,StartTemperatur,CoolingRate,IterationsAnzahl,Score
toy1,10000,10.0,1000,22.0
toy1,10000,9.0,1111,22.0
toy1,10000,8.0,1250,21.0
toy1,10000,7.0,1428,21.0
toy1,10000,6.0,1666,21.0
toy1,10000,5.0,2000,21.0
toy1,10000,4.0,2500,21.0
toy1,10000,3.0,3333,20.0
toy1,10000,2.0,5000,20.0
toy1,10000,1.0,10000,20.0
toy1,10000,10.0,1000,21.0
toy1,9000,10.0,900,22.0
toy1,8000,10.0,800,21.0
toy1,7000,10.0,700,21.0
toy1,6000,10.0,600,22.0
toy1,5000,10.0,500,22.0
toy1,4000,10.0,400,22.0
toy1,3000,10.0,300,22.0
toy1,2000,10.0,200,22.0
toy1,1000,10.0,100,23.0
toy1,5000,5.0,1000,21.0
toy1,5000,4.5,1111,21.0
toy1,5000,4.0,1250,21.0
toy1,5000,3.5,1428,21.0
toy1,5000,3.0,1666,21.0
toy1,5000,2.5,2000,20.0
toy1,5000,2.0,2500,20.0
toy1,5000,1.5,3333,20.0
toy1,5000,1.0,5000,20.0
toy1,5000,0.5,10000,20.0
toy1,5000,5.0,1000,21.0
toy1,4500,5.0,900,21.0
toy1,4000,5.0,800,21.0
toy1,3500,5.0,700,22.0
toy1,3000,5.0,600,21.0
toy1,2500,5.0,500,22.0
toy1,2000,5.0,400,22.0
toy1,1500,5.0,300,22.0
toy1,1000,5.0,200,22.0
toy1,500,5.0,100,22.0
toy1,1000,1.0,1000,21.0
toy1,1000,0.9,1111,21.0
toy1,1000,0.8,1250,21.0
toy1,1000,0.7,1428,21.0
toy1,1000,0.6,1666,20.0
toy1,1000,0.5,2000,20.0
toy1,1000,0.4,2500,20.0
toy1,1000,0.3,3333,20.0
toy1,1000,0.2,5000,20.0
toy1,1000,0.1,10000,20.0
toy1,1000,1.0,1000,21.0
toy1,900,1.0,900,22.0
toy1,800,1.0,800,22.0
toy1,700,1.0,700,22.0
toy1,600,1.0,600,22.0
toy1,500,1.0,500,22.0
toy1,400,1.0,400,22.0
toy1,300,1.0,300,22.0
toy1,200,1.0,200,21.0
toy1,100,1.0,100,22.0
toy1,500,0.5,1000,20.0
toy1,500,0.45,1111,22.0
toy1,500,0.4,1250,20.0
toy1,500,0.35,1428,21.0
toy1,500,0.3,1666,21.0
toy1,500,0.25,2000,21.0
toy1,500,0.2,2500,21.0
toy1,500,0.15,3333,20.0
toy1,500,0.1,5000,21.0
toy1,500,0.05,10000,20.0
toy1,500,0.5,1000,21.0
toy1,450,0.5,900,22.0
toy1,400,0.5,800,21.0
toy1,350,0.5,700,22.0
toy1,300,0.5,600,22.0
toy1,250,0.5,500,22.0
toy1,200,0.5,400,22.0
toy1,150,0.5,300,22.0
toy1,100,0.5,200,22.0
toy1,50,0.5,100,22.0
toy1,100,0.1,1000,22.0
toy1,100,0.09,1111,21.0
toy1,100,0.08,1250,21.0
toy1,100,0.07,1428,21.0
toy1,100,0.06,1666,21.0
toy1,100,0.05,2000,20.0
toy1,100,0.04,2500,21.0
toy1,100,0.03,3333,20.0
toy1,100,0.02,5000,20.0
toy1,100,0.01,10000,20.0
toy1,100,0.1,1000,22.0
toy1,90,0.1,900,22.0
toy1,80,0.1,800,22.0
toy1,70,0.1,700,22.0
toy1,60,0.1,600,21.0
toy1,50,0.1,500,22.0
toy1,40,0.1,400,21.0
toy1,30,0.1,300,21.0
toy1,20,0.1,200,23.0
toy1,10,0.1,100,22.0
toy1,10,0.01,1000,21.0
toy1,10,0.009,1111,21.0
toy1,10,0.008,1250,21.0
toy1,10,0.007,1428,20.0
toy1,10,0.006,1666,21.0
toy1,10,0.005,2000,21.0
toy1,10,0.004,2500,20.0
toy1,10,0.003,3333,20.0
toy1,10,0.002,5000,20.0
toy1,10,0.001,10000,20.0
toy1,10,0.01,1000,22.0
toy1,9,0.01,900,21.0
toy1,8,0.01,800,20.0
toy1,7,0.01,700,20.0
toy1,6,0.01,600,21.0
toy1,5,0.01,500,22.0
toy1,4,0.01,400,22.0
toy1,3,0.01,300,22.0
toy1,2,0.01,200,22.0
toy1,1,0.01,100,22.0
