Dateiname,StartTemperatur,CoolingRate,IterationsAnzahl,Score
long01,1000,10.0,100,1146.0
long01,900,10.0,90,1200.0
long01,800,10.0,80,1221.0
long01,700,10.0,70,1208.0
long01,600,10.0,60,1286.0
long01,500,10.0,50,1313.0
long01,400,10.0,40,1385.0
long01,300,10.0,30,1399.0
long01,200,10.0,20,1424.0
long01,100,10.0,10,1486.0
long01,500,10.0,50,1336.0
long01,450,10.0,45,1335.0
long01,400,10.0,40,1359.0
long01,350,10.0,35,1366.0
long01,300,10.0,30,1407.0
long01,250,10.0,25,1429.0
long01,200,10.0,20,1451.0
long01,150,10.0,15,1448.0
long01,100,10.0,10,1489.0
long01,50,10.0,5,1504.0
long01,100,10.0,10,1480.0
long01,90,10.0,9,1491.0
long01,80,10.0,8,1490.0
long01,70,10.0,7,1502.0
long01,60,10.0,6,1506.0
long01,50,10.0,5,1509.0
long01,40,10.0,4,1502.0
long01,30,10.0,3,1509.0
long01,20,10.0,2,1521.0
long01,10,10.0,1,1525.0
long01,10,10.0,1,1524.0
long01,9,10.0,0,1529.0
long01,8,10.0,0,1529.0
long01,7,10.0,0,1529.0
long01,6,10.0,0,1529.0
long01,5,10.0,0,1529.0
long01,4,10.0,0,1529.0
long01,3,10.0,0,1529.0
long01,2,10.0,0,1529.0
long01,1,10.0,0,1529.0

long01,1000,5.0,200,972.0
long01,900,5.0,180,1014.0
long01,800,5.0,160,1041.0
long01,700,5.0,140,1074.0
long01,600,5.0,120,1129.0
long01,500,5.0,100,1152.0
long01,400,5.0,80,1206.0
long01,300,5.0,60,1269.0
long01,200,5.0,40,1353.0
long01,100,5.0,20,1428.0
long01,500,5.0,100,1173.0
long01,450,5.0,90,1194.0
long01,400,5.0,80,1209.0
long01,350,5.0,70,1249.0
long01,300,5.0,60,1293.0
long01,250,5.0,50,1321.0
long01,200,5.0,40,1350.0
long01,150,5.0,30,1420.0
long01,100,5.0,20,1438.0
long01,50,5.0,10,1465.0
long01,100,5.0,20,1425.0
long01,90,5.0,18,1459.0
long01,80,5.0,16,1446.0
long01,70,5.0,14,1467.0
long01,60,5.0,12,1474.0
long01,50,5.0,10,1483.0
long01,40,5.0,8,1494.0
long01,30,5.0,6,1484.0
long01,20,5.0,4,1513.0
long01,10,5.0,2,1518.0
long01,10,5.0,2,1521.0
long01,9,5.0,1,1521.0
long01,8,5.0,1,1523.0
long01,7,5.0,1,1521.0
long01,6,5.0,1,1525.0
long01,5,5.0,1,1523.0
long01,4,5.0,0,1529.0
long01,3,5.0,0,1529.0
long01,2,5.0,0,1529.0
long01,1,5.0,0,1529.0
long01,1000,1.0,1000,785.0
long01,900,1.0,900,779.0
long01,800,1.0,800,782.0
long01,700,1.0,700,800.0
long01,600,1.0,600,808.0
long01,500,1.0,500,830.0
long01,400,1.0,400,843.0
long01,300,1.0,300,877.0
long01,200,1.0,200,1012.0
long01,100,1.0,100,1154.0
long01,500,1.0,500,801.0
long01,450,1.0,450,821.0
long01,400,1.0,400,837.0
long01,350,1.0,350,887.0
long01,300,1.0,300,905.0
long01,250,1.0,250,919.0
long01,200,1.0,200,992.0
long01,150,1.0,150,1070.0
long01,100,1.0,100,1180.0
long01,50,1.0,50,1338.0
long01,100,1.0,100,1173.0
long01,90,1.0,90,1216.0
long01,80,1.0,80,1234.0
long01,70,1.0,70,1249.0
long01,60,1.0,60,1283.0
long01,50,1.0,50,1321.0
long01,40,1.0,40,1369.0
long01,30,1.0,30,1387.0
long01,20,1.0,20,1459.0
long01,10,1.0,10,1482.0
long01,10,1.0,10,1491.0
long01,9,1.0,9,1490.0
long01,8,1.0,8,1489.0
long01,7,1.0,7,1480.0
long01,6,1.0,6,1500.0
long01,5,1.0,5,1505.0
long01,4,1.0,4,1505.0
long01,3,1.0,3,1513.0
long01,2,1.0,2,1510.0
long01,1,1.0,1,1524.0
long01,1000,0.5,2000,761.0
long01,900,0.5,1800,768.0
long01,800,0.5,1600,757.0
long01,700,0.5,1400,759.0
long01,600,0.5,1200,764.0
long01,500,0.5,1000,786.0
long01,400,0.5,800,776.0
long01,300,0.5,600,823.0
long01,200,0.5,400,843.0
long01,100,0.5,200,995.0
long01,500,0.5,1000,780.0
long01,450,0.5,900,775.0
long01,400,0.5,800,779.0
long01,350,0.5,700,793.0
long01,300,0.5,600,802.0
long01,250,0.5,500,832.0
long01,200,0.5,400,842.0
long01,150,0.5,300,884.0
long01,100,0.5,200,979.0
long01,50,0.5,100,1159.0
long01,100,0.5,200,1001.0
long01,90,0.5,180,1023.0
long01,80,0.5,160,1050.0
long01,70,0.5,140,1103.0
long01,60,0.5,120,1094.0
long01,50,0.5,100,1158.0
long01,40,0.5,80,1250.0
long01,30,0.5,60,1297.0
long01,20,0.5,40,1360.0
long01,10,0.5,20,1435.0
long01,10,0.5,20,1442.0
long01,9,0.5,18,1444.0
long01,8,0.5,16,1465.0
long01,7,0.5,14,1460.0
long01,6,0.5,12,1464.0
long01,5,0.5,10,1482.0
long01,4,0.5,8,1495.0
long01,3,0.5,6,1497.0
long01,2,0.5,4,1511.0
long01,1,0.5,2,1517.0
long01,1000,0.1,10000,753.0
long01,900,0.1,9000,758.0
long01,800,0.1,8000,758.0
long01,700,0.1,7000,753.0
long01,600,0.1,6000,756.0
long01,500,0.1,5000,758.0
long01,400,0.1,4000,761.0
long01,300,0.1,3000,764.0
long01,200,0.1,2000,763.0
long01,100,0.1,1000,773.0
long01,500,0.1,5000,760.0
long01,450,0.1,4500,750.0
long01,400,0.1,4000,767.0
long01,350,0.1,3500,749.0
long01,300,0.1,3000,759.0
long01,250,0.1,2500,758.0
long01,200,0.1,2000,758.0
long01,150,0.1,1500,761.0
long01,100,0.1,1000,775.0
long01,50,0.1,500,817.0
long01,100,0.1,1000,767.0
long01,90,0.1,900,764.0
long01,80,0.1,800,779.0
long01,70,0.1,700,779.0
long01,60,0.1,600,822.0
long01,50,0.1,500,810.0
long01,40,0.1,400,854.0
long01,30,0.1,300,897.0
long01,20,0.1,200,986.0
long01,10,0.1,100,1155.0
long01,10,0.1,100,1190.0
long01,9,0.1,90,1184.0
long01,8,0.1,80,1222.0
long01,7,0.1,70,1240.0
long01,6,0.1,60,1289.0
