Dateiname,StartTemperatur,CoolingRate,IterationsAnzahl,Score
toy1,10000.0,10.0,1000,22.0
toy1,10000.0,9.0,1111,21.0
toy1,10000.0,8.0,1250,21.0
toy1,10000.0,7.0,1428,21.0
toy1,10000.0,6.0,1666,22.0
toy1,10000.0,5.0,2000,22.0
toy1,10000.0,4.0,2500,20.0
toy1,10000.0,3.0,3333,20.0
toy1,10000.0,2.0,5000,20.0
toy1,10000.0,1.0,10000,19.0
toy1,10000.0,10.0,1000,21.0
toy1,9000.0,10.0,900,22.0
toy1,8000.0,10.0,800,21.0
toy1,7000.0,10.0,700,21.0
toy1,6000.0,10.0,600,22.0
toy1,5000.0,10.0,500,21.0
toy1,4000.0,10.0,400,22.0
toy1,3000.0,10.0,300,22.0
toy1,2000.0,10.0,200,23.0
toy1,1000.0,10.0,100,23.0
toy1,5000.0,5.0,1000,21.0
toy1,5000.0,4.5,1111,21.0
toy1,5000.0,4.0,1250,21.0
toy1,5000.0,3.5,1428,21.0
toy1,5000.0,3.0,1666,21.0
toy1,5000.0,2.5,2000,21.0
toy1,5000.0,2.0,2500,21.0
toy1,5000.0,1.5,3333,20.0
toy1,5000.0,1.0,5000,20.0
toy1,5000.0,0.5,10000,20.0
toy1,5000.0,5.0,1000,21.0
toy1,4500.0,5.0,900,21.0
toy1,4000.0,5.0,800,22.0
toy1,3500.0,5.0,700,21.0
toy1,3000.0,5.0,600,21.0
toy1,2500.0,5.0,500,21.0
toy1,2000.0,5.0,400,22.0
toy1,1500.0,5.0,300,23.0
toy1,1000.0,5.0,200,22.0
toy1,500.0,5.0,100,22.0
toy1,1000.0,1.0,1000,21.0
toy1,1000.0,0.9,1111,21.0
toy1,1000.0,0.8,1250,21.0
toy1,1000.0,0.7000000000000001,1428,21.0
toy1,1000.0,0.6000000000000001,1666,21.0
toy1,1000.0,0.5000000000000001,1999,20.0
toy1,1000.0,0.40000000000000013,2499,21.0
toy1,1000.0,0.30000000000000016,3333,20.0
toy1,1000.0,0.20000000000000015,4999,21.0
toy1,1000.0,0.10000000000000014,9999,20.0
toy1,1000.0,1.0,1000,21.0
toy1,900.0,1.0,900,22.0
toy1,800.0,1.0,800,22.0
toy1,700.0,1.0,700,21.0
toy1,600.0,1.0,600,22.0
toy1,500.0,1.0,500,22.0
toy1,400.0,1.0,400,21.0
toy1,300.0,1.0,300,23.0
toy1,200.0,1.0,200,22.0
toy1,100.0,1.0,100,23.0
toy1,500.0,0.5,1000,21.0
toy1,500.0,0.45,1111,21.0
toy1,500.0,0.4,1250,22.0
toy1,500.0,0.35000000000000003,1428,22.0
toy1,500.0,0.30000000000000004,1666,21.0
toy1,500.0,0.25000000000000006,1999,21.0
toy1,500.0,0.20000000000000007,2499,20.0
toy1,500.0,0.15000000000000008,3333,21.0
toy1,500.0,0.10000000000000007,4999,19.0
toy1,500.0,0.05000000000000007,9999,19.0
toy1,500.0,0.5,1000,21.0
toy1,450.0,0.5,900,21.0
toy1,400.0,0.5,800,22.0
toy1,350.0,0.5,700,22.0
toy1,300.0,0.5,600,21.0
toy1,250.0,0.5,500,21.0
toy1,200.0,0.5,400,22.0
toy1,150.0,0.5,300,22.0
toy1,100.0,0.5,200,23.0
toy1,50.0,0.5,100,23.0
toy1,100.0,0.1,1000,22.0
toy1,100.0,0.09000000000000001,1111,21.0
toy1,100.0,0.08000000000000002,1249,21.0
toy1,100.0,0.07000000000000002,1428,21.0
toy1,100.0,0.06000000000000002,1666,21.0
toy1,100.0,0.05000000000000002,1999,21.0
toy1,100.0,0.040000000000000015,2499,21.0
toy1,100.0,0.030000000000000013,3333,20.0
toy1,100.0,0.02000000000000001,4999,20.0
toy1,100.0,0.01000000000000001,9999,20.0
toy1,100.0,0.1,1000,21.0
toy1,90.0,0.1,900,22.0
toy1,80.0,0.1,800,21.0
toy1,70.0,0.1,700,21.0
toy1,60.0,0.1,600,21.0
toy1,50.0,0.1,500,22.0
toy1,40.0,0.1,400,22.0
toy1,30.0,0.1,300,22.0
toy1,20.0,0.1,200,22.0
toy1,10.0,0.1,100,22.0
toy1,10.0,0.01,1000,21.0
toy1,10.0,0.009000000000000001,1111,22.0
toy1,10.0,0.008,1250,22.0
toy1,10.0,0.007,1428,21.0
toy1,10.0,0.006,1666,21.0
toy1,10.0,0.005,2000,20.0
toy1,10.0,0.004,2500,20.0
toy1,10.0,0.003,3333,21.0
toy1,10.0,0.002,5000,20.0
toy1,10.0,0.001,10000,19.0
toy1,10.0,0.01,1000,21.0
toy1,9.0,0.01,900,22.0
toy1,8.0,0.01,800,21.0
toy1,7.0,0.01,700,20.0
toy1,6.0,0.01,600,21.0
toy1,5.0,0.01,500,21.0
toy1,4.0,0.01,400,22.0
toy1,3.0,0.01,300,22.0
toy1,2.0,0.01,200,22.0
